image_name,image_idx,a,b,mse_err
D:/fivekdataset_big/input/train/a0001-jmac_DSC1459.tif,0,1.997723530883368,0.20126090983376002,0.01149896448692431
D:/fivekdataset_big/input/train/a0002-dgw_005.tif,1,1.7944398693994177,0.1968015150022996,0.013786712175449014
D:/fivekdataset_big/input/train/a0003-NKIM_MG_8178.tif,2,2.3037812216698925,0.22253469700837988,0.014796347061007444
D:/fivekdataset_big/input/train/a0004-jmac_MG_1384.tif,3,1.691838938718641,0.21626601558302608,0.009410616916883283
D:/fivekdataset_big/input/train/a0005-jn_2007_05_10__564.tif,4,2.8126335269265685,0.10133601738613268,0.02178756640203748
D:/fivekdataset_big/input/train/a0006-IMG_2787.tif,5,1.907893876639585,0.23724901558378936,0.005168272010114498
D:/fivekdataset_big/input/train/a0007-IMG_2480.tif,6,1.9763281323170125,0.21437413126907842,0.0070279447219545
D:/fivekdataset_big/input/train/a0008-WP_CRW_3959.tif,7,2.672585436020354,0.08619749901599252,0.01578284689839281
D:/fivekdataset_big/input/train/a0009-kme_372.tif,8,1.7961546033193043,0.13100084231011527,0.006640981317205443
D:/fivekdataset_big/input/train/a0010-jmac_MG_4807.tif,9,1.7750281520513362,0.21626232549585162,0.006488091972427948
D:/fivekdataset_big/input/train/a0011-DSC_0082.tif,10,1.7249084006838156,0.15074539452212582,0.0068522742072782365
D:/fivekdataset_big/input/train/a0012-kme_143.tif,11,1.731034536961639,0.16364385053393146,0.009142163168241494
D:/fivekdataset_big/input/train/a0013-MB_20030906_001.tif,12,1.5850007310916592,0.25153310680030977,0.02968095560127502
D:/fivekdataset_big/input/train/a0014-WP_CRW_6320.tif,13,2.0807499048588376,0.1745845689730988,0.006517146122463742
D:/fivekdataset_big/input/train/a0015-DSC_0081.tif,14,1.957618737133028,0.15946171499138653,0.011230768013123256
D:/fivekdataset_big/input/train/a0016-jmac_MG_0795.tif,15,2.057311832567459,0.21151414163292537,0.010352757944205595
D:/fivekdataset_big/input/train/a0017-050710_031618__MG_3496.tif,16,1.8778342068024214,0.2253077329809642,0.008548002386647725
D:/fivekdataset_big/input/train/a0018-kme_234.tif,17,2.1882287314815154,0.20275991556925385,0.009886564255561872
D:/fivekdataset_big/input/train/a0019-jmac_MG_0653.tif,18,1.7779469459884711,0.19182038141611518,0.024763107635930183
D:/fivekdataset_big/input/train/a0020-jmac_MG_6225.tif,19,1.9654334284443329,0.269750407638371,0.012064584335393667
D:/fivekdataset_big/input/train/a0021-07-11-28-at-09h22m57s-_MG_7427.tif,20,1.5139939886198233,0.2578897014278356,0.011373397802001266
D:/fivekdataset_big/input/train/a0022-IMG_2380.tif,21,1.8666961002463496,0.17628629996493209,0.0077959360229731215
D:/fivekdataset_big/input/train/a0023-07-06-02-at-15h06m48-s_MG_1489.tif,22,1.9583767547679494,0.12385606559481951,0.01200624411528261
D:/fivekdataset_big/input/train/a0024-_DSC8932.tif,23,1.9351047297966448,0.4020121504502087,0.030824932745280996
D:/fivekdataset_big/input/train/a0025-kme_298.tif,24,2.2122991648345938,0.19673142698023957,0.01032146829854374
D:/fivekdataset_big/input/train/a0026-kme_391.tif,25,1.8975410813166997,0.24057519835063626,0.007313905200243367
D:/fivekdataset_big/input/train/a0027-IMG_3964.tif,26,2.0623796765495044,0.11938262790227806,0.01471505780245181
D:/fivekdataset_big/input/train/a0028-_DSC0032.tif,27,1.9413197193991216,0.1862734177589911,0.007108641321066046
D:/fivekdataset_big/input/train/a0029-jmac_DSC3974.tif,28,1.8696964874325395,0.2291461184461132,0.013998372447238368
D:/fivekdataset_big/input/train/a0030-_MG_7844.tif,29,1.6357174973423578,0.19651041030071054,0.013898498214455254
D:/fivekdataset_big/input/train/a0031-WP_CRW_0736.tif,30,2.139665820449696,0.14600566614312135,0.018062425529291534
D:/fivekdataset_big/input/train/a0032-jmac_MG_0266.tif,31,2.14415674773748,0.11062196486001238,0.01075647174765285
D:/fivekdataset_big/input/train/a0033-KE_-2590.tif,32,1.6577703338763115,0.13451950259563294,0.014750544006651123
D:/fivekdataset_big/input/train/a0034-LSYD4O2202.tif,33,1.4555469033692365,0.23408506503360255,0.012521942949412253
D:/fivekdataset_big/input/train/a0035-dgw_048.tif,34,1.9138327917996587,0.22857926766943537,0.025531583892396667
D:/fivekdataset_big/input/train/a0036-jn_2007_05_05__183.tif,35,1.966417037776348,0.177492467944473,0.006381392009691077
D:/fivekdataset_big/input/train/a0037-jmacAlgarve_Sagres_07.tif,36,1.8899413089174077,0.12562361565129307,0.005766345421061881
D:/fivekdataset_big/input/train/a0038-MB_070908_135.tif,37,1.7570932531774754,0.19480270160145194,0.010775831324942817
D:/fivekdataset_big/input/train/a0039-jmac_DSC3406.tif,38,2.4683483264335737,0.11956958352790512,0.008487257041905156
D:/fivekdataset_big/input/train/a0040-_DSC5693.tif,39,1.5399479230796937,0.22529060284764366,0.01361481283210545
D:/fivekdataset_big/input/train/a0041-IMG_4972.tif,40,1.7937659651909497,0.10189699044455143,0.01490735995890713
D:/fivekdataset_big/input/train/a0042-060813_155838__MG_6361.tif,41,1.6369239294445295,0.2767901753805439,0.025958713690479984
D:/fivekdataset_big/input/train/a0043-07-11-27-at-12h09m46s-_MG_7307.tif,42,1.8525505303489431,0.1503672607234665,0.010011438769391947
D:/fivekdataset_big/input/train/a0044-JI2E0511.tif,43,2.2255624457409104,0.1833464682815646,0.009565876952401737
D:/fivekdataset_big/input/train/a0045-20050320_081337__E6B1177.tif,44,1.4978271089187694,0.20321359524356045,0.009173676111134905
D:/fivekdataset_big/input/train/a0046-dgw_101.tif,45,1.6653572505343872,0.22436871618633084,0.018561641140049615
D:/fivekdataset_big/input/train/a0047-07-11-18-at-00h05m40s-_MG_4882.tif,46,2.1432421342372683,0.2789120930000797,0.011993958061744834
D:/fivekdataset_big/input/train/a0048-kme_066.tif,47,2.654613415859641,0.1162572375567662,0.009138459414072608
D:/fivekdataset_big/input/train/a0049-_I2E5952.tif,48,2.270047920433111,0.12519016391771048,0.011625261588549308
D:/fivekdataset_big/input/train/a0050-_DSC0006.tif,49,2.675030367696182,0.14149564678700102,0.007273993536764367
D:/fivekdataset_big/input/train/a0051-WP_CRW_3461.tif,50,1.7575492793204042,0.17304202824724366,0.011686035185609846
D:/fivekdataset_big/input/train/a0052-dgw_131.tif,51,1.8674381516763678,0.21881392822830045,0.023475607127884785
D:/fivekdataset_big/input/train/a0053-kme_103.tif,52,1.8756762028962757,0.18610318553042768,0.016021320576123498
D:/fivekdataset_big/input/train/a0054-kme_097.tif,53,1.9192060071181012,0.1790451591512444,0.01819386601891987
D:/fivekdataset_big/input/train/a0055-050729_194412__I2E5282.tif,54,1.9113336244050245,0.1558537097545574,0.00889137501686947
D:/fivekdataset_big/input/train/a0056-LSYD4O0815.tif,55,2.1281365049716956,0.09202462867627989,0.010550867049603342
D:/fivekdataset_big/input/train/a0057-kme_406.tif,56,1.8329514975768268,0.1966296643001019,0.008440115819846283
D:/fivekdataset_big/input/train/a0058-NKIM_MG_6121.tif,57,1.5577947017557905,0.2218150189470638,0.01818920024113066
D:/fivekdataset_big/input/train/a0059-JI2E5556.tif,58,1.7765242647392987,0.17804781928909194,0.007627603314010657
D:/fivekdataset_big/input/train/a0060-jmac_DSC3171.tif,59,2.203731722709875,0.13988078185100553,0.010966071600194565
D:/fivekdataset_big/input/train/a0061-jn_20080802_0003.tif,60,2.2990956348397296,0.059432894444617294,0.007314600751430707
D:/fivekdataset_big/input/train/a0062-LSCRW_0035.tif,61,2.3138643977035036,0.11559790890474256,0.0038446917848764077
D:/fivekdataset_big/input/train/a0063-IMG_4185.tif,62,1.8522130817047682,0.13150286099213793,0.014560417262233925
D:/fivekdataset_big/input/train/a0064-_DSC7889.tif,63,1.6344844201543762,0.1692363741497486,0.011703333236972919
D:/fivekdataset_big/input/train/a0065-_DSC6405.tif,64,1.4975887222607467,0.22764030876510868,0.024215237193635452
D:/fivekdataset_big/input/train/a0066-Ja_Pe-65.tif,65,1.944181918052781,0.20213632935536216,0.017198779514398986
D:/fivekdataset_big/input/train/a0067-kme_213.tif,66,1.6440443043647177,0.26201162525245353,0.02702346322268691
D:/fivekdataset_big/input/train/a0068-LS051026_day_1_arive53.tif,67,1.6254868657125165,0.2692741856368592,0.026772101151684536
D:/fivekdataset_big/input/train/a0069-kme_056.tif,68,1.404742758827122,0.2545208414017806,0.01704417554935517
D:/fivekdataset_big/input/train/a0070-IMG_4327.tif,69,1.6634503501824003,0.19191516629500666,0.014564738512751552
D:/fivekdataset_big/input/train/a0071-kme_490.tif,70,2.6501506656487517,0.0834873835963056,0.01973024171343154
D:/fivekdataset_big/input/train/a0072-IMG_5048.tif,71,1.4296933621213666,0.20970647806722154,0.017835884676080768
D:/fivekdataset_big/input/train/a0073-IMG_2593.tif,72,1.5544312088450767,0.2277727130452504,0.018937722048521146
D:/fivekdataset_big/input/train/a0074-WP_CRW_0343.tif,73,2.058797797764485,0.2287976754659299,0.012795686570097642
D:/fivekdataset_big/input/train/a0075-jn_20080814_New_York_City_042.tif,74,2.165632951943562,0.15345983681945613,0.0145037911620294
D:/fivekdataset_big/input/train/a0076-jmac_MG_5736.tif,75,1.640908338530224,0.1906761013179042,0.009251648481060323
D:/fivekdataset_big/input/train/a0077-20080627_at_14h31m24__MG_0714.tif,76,1.7145783997218256,0.14190693281436098,0.006523454848532766
D:/fivekdataset_big/input/train/a0078-IMG_0326.tif,77,1.8177066797196217,0.06818014958333318,0.012599816844555474
D:/fivekdataset_big/input/train/a0079-IMG_4099.tif,78,2.3067224804356625,0.1578905635350419,0.009168617859320998
D:/fivekdataset_big/input/train/a0080-kme_544.tif,79,2.2617528469034114,0.1641834906308075,0.007166037759695153
D:/fivekdataset_big/input/train/a0081-kme_106.tif,80,1.9655968871929757,0.23606332190278087,0.00990140455440733
